"locationid","location","iso3","time","population","gdp","longitude","latitude"
112,"Belarus","BLR",1990,10428525,1919.01051060774,27.953388214111328,53.709808349609375
112,"Belarus","BLR",2000,10256483,1091.02396183959,27.953388214111328,53.709808349609375
112,"Belarus","BLR",2010,9731427,6075.20368565958,27.953388214111328,53.709808349609375
112,"Belarus","BLR",2020,9633741,6377.05543170986,27.953388214111328,53.709808349609375
116,"Cambodia","KHM",1990,8910808,189.148370633366,104.990966796875,12.565678596496582
116,"Cambodia","KHM",2000,12118841,301.650799853388,104.990966796875,12.565678596496582
116,"Cambodia","KHM",2010,14363532,785.502535790677,104.990966796875,12.565678596496582
116,"Cambodia","KHM",2020,16396860,1512.72828849953,104.990966796875,12.565678596496582
120,"Cameroon","CMR",1990,11430520,1087.78575360417,12.354722023010254,7.36972188949585
120,"Cameroon","CMR",2000,15091595,647.591819076341,12.354722023010254,7.36972188949585
120,"Cameroon","CMR",2010,19878037,1285.26166967473,12.354722023010254,7.36972188949585
120,"Cameroon","CMR",2020,26491087,1502.32806246598,12.354722023010254,7.36972188949585
124,"Canada","CAN",1990,27657205,21643.4210439745,-106.34677124023438,56.130367279052734
124,"Canada","CAN",2000,30683313,24348.256257947,-106.34677124023438,56.130367279052734
124,"Canada","CAN",2010,33963413,47361.1158473465,-106.34677124023438,56.130367279052734
124,"Canada","CAN",2020,37888705,43559.7100918314,-106.34677124023438,56.130367279052734
132,"Cabo Verde","CPV",1990,364564,1036.63884993782,-23.60517311096191,15.120141983032228
132,"Cabo Verde","CPV",2000,458251,1432.18498965833,-23.60517311096191,15.120141983032228
132,"Cabo Verde","CPV",2010,521213,3378.26634450933,-23.60517311096191,15.120141983032228
132,"Cabo Verde","CPV",2020,582640,3064.27654591858,-23.60517311096191,15.120141983032228
136,"Cayman Islands","CYM",1990,26028,48428.1960990044,-81.25460052490233,19.31329917907715
136,"Cayman Islands","CYM",2000,39659,70966.9217798919,-81.25460052490233,19.31329917907715
136,"Cayman Islands","CYM",2010,54074,75460.7514935413,-81.25460052490233,19.31329917907715
136,"Cayman Islands","CYM",2020,67311,95190.9325059168,-81.25460052490233,19.31329917907715
140,"Central African Republic","CAF",1990,2809221,537.065953384267,20.93944358825684,6.611111164093018
140,"Central African Republic","CAF",2000,3759170,262.83512745256,20.93944358825684,6.611111164093018
140,"Central African Republic","CAF",2010,4660067,487.945191738819,20.93944358825684,6.611111164093018
140,"Central African Republic","CAF",2020,5343020,481.016461953413,20.93944358825684,6.611111164093018
