locationid,location,iso3,time,population
438,Liechtenstein,LIE,1990,28765
438,Liechtenstein,LIE,2000,33027
438,Liechtenstein,LIE,2010,35926
438,Liechtenstein,LIE,2020,38756
440,Lithuania,LTU,1990,3785847
440,Lithuania,LTU,2000,3599637
440,Lithuania,LTU,2010,3139019
440,Lithuania,LTU,2020,2820267
442,Luxembourg,LUX,1990,381267
442,Luxembourg,LUX,2000,435628
442,Luxembourg,LUX,2010,507070
442,Luxembourg,LUX,2020,630400
446,"China, Macao SAR",MAC,1990,350227
446,"China, Macao SAR",MAC,2000,431896
446,"China, Macao SAR",MAC,2010,557297
446,"China, Macao SAR",MAC,2020,676283
450,Madagascar,MDG,1990,11882762
450,Madagascar,MDG,2000,16216431
450,Madagascar,MDG,2010,21731053
450,Madagascar,MDG,2020,28225177
454,Malawi,MWI,1990,9539665
454,Malawi,MWI,2000,11229387
454,Malawi,MWI,2010,14718422
454,Malawi,MWI,2020,19377062
458,Malaysia,MYS,1990,17517055
458,Malaysia,MYS,2000,22945150
458,Malaysia,MYS,2010,28717731
458,Malaysia,MYS,2020,33199993
462,Maldives,MDV,1990,224957
462,Maldives,MDV,2000,282507
462,Maldives,MDV,2010,361575
462,Maldives,MDV,2020,514438
466,Mali,MLI,1990,8945026
466,Mali,MLI,2000,11239101
466,Mali,MLI,2010,15529181
466,Mali,MLI,2020,21224040
470,Malta,MLT,1990,365392
470,Malta,MLT,2000,399212
470,Malta,MLT,2010,418755
470,Malta,MLT,2020,515358
474,Martinique,MTQ,1990,374271
474,Martinique,MTQ,2000,432544
474,Martinique,MTQ,2010,392181
474,Martinique,MTQ,2020,370391
478,Mauritania,MRT,1990,2006027
478,Mauritania,MRT,2000,2695004
478,Mauritania,MRT,2010,3419461
478,Mauritania,MRT,2020,4498604
480,Mauritius,MUS,1990,1090290
480,Mauritius,MUS,2000,1215931
480,Mauritius,MUS,2010,1283330
480,Mauritius,MUS,2020,1297828
484,Mexico,MEX,1990,81720428
484,Mexico,MEX,2000,97873442
484,Mexico,MEX,2010,112532401
484,Mexico,MEX,2020,125998302
492,Monaco,MCO,1990,30329
492,Monaco,MCO,2000,32466
492,Monaco,MCO,2010,33179
492,Monaco,MCO,2020,36922
496,Mongolia,MNG,1990,2161433
496,Mongolia,MNG,2000,2450980
496,Mongolia,MNG,2010,2702520
496,Mongolia,MNG,2020,3294335
498,Republic of Moldova,MDA,1990,4480199
498,Republic of Moldova,MDA,2000,4251573
498,Republic of Moldova,MDA,2010,3678186
498,Republic of Moldova,MDA,2020,3084847
499,Montenegro,MNE,1990,621442
499,Montenegro,MNE,2000,633325
499,Montenegro,MNE,2010,631044
499,Montenegro,MNE,2020,629048
500,Montserrat,MSR,1990,10805
500,Montserrat,MSR,2000,5138
500,Montserrat,MSR,2010,4938
500,Montserrat,MSR,2020,4500
504,Morocco,MAR,1990,24570814
504,Morocco,MAR,2000,28554416
504,Morocco,MAR,2010,32464865
504,Morocco,MAR,2020,36688772
508,Mozambique,MOZ,1990,13303459
508,Mozambique,MOZ,2000,17768506
508,Mozambique,MOZ,2010,23073723
508,Mozambique,MOZ,2020,31178239
512,Oman,OMN,1990,1804524
512,Oman,OMN,2000,2344254
512,Oman,OMN,2010,2881915
512,Oman,OMN,2020,4543399
516,Namibia,NAM,1990,1369011
516,Namibia,NAM,2000,1819141
516,Namibia,NAM,2010,2099271
516,Namibia,NAM,2020,2489098
520,Nauru,NRU,1990,9598
520,Nauru,NRU,2000,10377
520,Nauru,NRU,2010,10241
520,Nauru,NRU,2020,12315
524,Nepal,NPL,1990,19616530
524,Nepal,NPL,2000,24559501
524,Nepal,NPL,2010,27161567
524,Nepal,NPL,2020,29348628
528,Netherlands,NLD,1990,14944548
528,Netherlands,NLD,2000,15899135
528,Netherlands,NLD,2010,16617117
528,Netherlands,NLD,2020,17434558
531,Curaçao,CUW,1990,155446
531,Curaçao,CUW,2000,141424
531,Curaçao,CUW,2010,159380
531,Curaçao,CUW,2020,189289
533,Aruba,ABW,1990,65712
533,Aruba,ABW,2000,89101
533,Aruba,ABW,2010,100342
533,Aruba,ABW,2020,106585
534,Sint Maarten (Dutch part),SXM,1990,27845
534,Sint Maarten (Dutch part),SXM,2000,30490
534,Sint Maarten (Dutch part),SXM,2010,33034
534,Sint Maarten (Dutch part),SXM,2020,43622
535,"Bonaire, Sint Eustatius and Saba",BES,1990,12604
535,"Bonaire, Sint Eustatius and Saba",BES,2000,13961
535,"Bonaire, Sint Eustatius and Saba",BES,2010,20224
535,"Bonaire, Sint Eustatius and Saba",BES,2020,26153
540,New Caledonia,NCL,1990,177264
540,New Caledonia,NCL,2000,221537
540,New Caledonia,NCL,2010,261426
540,New Caledonia,NCL,2020,286403
548,Vanuatu,VUT,1990,150883
548,Vanuatu,VUT,2000,192074
548,Vanuatu,VUT,2010,245453
548,Vanuatu,VUT,2020,311685
554,New Zealand,NZL,1990,3397389
554,New Zealand,NZL,2000,3855266
554,New Zealand,NZL,2010,4346339
554,New Zealand,NZL,2020,5061134
558,Nicaragua,NIC,1990,4227820
558,Nicaragua,NIC,2000,5123223
558,Nicaragua,NIC,2010,5855734
558,Nicaragua,NIC,2020,6755896
562,Niger,NER,1990,8370648
562,Niger,NER,2000,11622665
562,Niger,NER,2010,16647544
562,Niger,NER,2020,24333639
566,Nigeria,NGA,1990,95214257
566,Nigeria,NGA,2000,122851984
566,Nigeria,NGA,2010,160952854
566,Nigeria,NGA,2020,208327405
570,Niue,NIU,1990,2533
570,Niue,NIU,2000,2074
570,Niue,NIU,2010,1812
570,Niue,NIU,2020,1943
578,Norway,NOR,1990,4241636
578,Norway,NOR,2000,4491202
578,Norway,NOR,2010,4889741
578,Norway,NOR,2020,5379839
580,Northern Mariana Islands,MNP,1990,48003
580,Northern Mariana Islands,MNP,2000,80339
580,Northern Mariana Islands,MNP,2010,54088
580,Northern Mariana Islands,MNP,2020,49587
583,Micronesia (Fed. States of),FSM,1990,98603
583,Micronesia (Fed. States of),FSM,2000,111709
583,Micronesia (Fed. States of),FSM,2010,107588
583,Micronesia (Fed. States of),FSM,2020,112107
584,Marshall Islands,MHL,1990,46048
584,Marshall Islands,MHL,2000,54225
584,Marshall Islands,MHL,2010,53416
584,Marshall Islands,MHL,2020,43414
585,Palau,PLW,1990,15294
585,Palau,PLW,2000,19726
585,Palau,PLW,2010,18540
585,Palau,PLW,2020,17972
586,Pakistan,PAK,1990,115414070
586,Pakistan,PAK,2000,154369924
586,Pakistan,PAK,2010,194454498
586,Pakistan,PAK,2020,227196741
591,Panama,PAN,1990,2449968
591,Panama,PAN,2000,3001732
591,Panama,PAN,2010,3623618
591,Panama,PAN,2020,4294397
598,Papua New Guinea,PNG,1990,3864973
598,Papua New Guinea,PNG,2000,5508298
598,Papua New Guinea,PNG,2010,7583269
598,Papua New Guinea,PNG,2020,9749640
600,Paraguay,PRY,1990,4059195
600,Paraguay,PRY,2000,5123819
600,Paraguay,PRY,2010,5768613
600,Paraguay,PRY,2020,6618695
604,Peru,PER,1990,22109099
604,Peru,PER,2000,26654439
604,Peru,PER,2010,29229572
604,Peru,PER,2020,33304756
608,Philippines,PHL,1990,61558898
608,Philippines,PHL,2000,77958224
608,Philippines,PHL,2010,94636700
608,Philippines,PHL,2020,112190978
616,Poland,POL,1990,38064255
616,Poland,POL,2000,38504431
616,Poland,POL,2010,38597353
616,Poland,POL,2020,38428367
620,Portugal,PRT,1990,10007346
620,Portugal,PRT,2000,10300626
620,Portugal,PRT,2010,10588401
620,Portugal,PRT,2020,10298192
624,Guinea-Bissau,GNB,1990,973551
624,Guinea-Bissau,GNB,2000,1230849
624,Guinea-Bissau,GNB,2010,1567221
624,Guinea-Bissau,GNB,2020,2015828
626,Timor-Leste,TLS,1990,758106
626,Timor-Leste,TLS,2000,878360
626,Timor-Leste,TLS,2010,1088487
626,Timor-Leste,TLS,2020,1299995
630,Puerto Rico,PRI,1990,3543776
630,Puerto Rico,PRI,2000,3827109
630,Puerto Rico,PRI,2010,3717922
630,Puerto Rico,PRI,2020,3271565
634,Qatar,QAT,1990,441675
634,Qatar,QAT,2000,645937
634,Qatar,QAT,2010,1713504
634,Qatar,QAT,2020,2760385
638,Réunion,REU,1990,658992
638,Réunion,REU,2000,785424
638,Réunion,REU,2010,890131
638,Réunion,REU,2020,957823
642,Romania,ROU,1990,22836234
642,Romania,ROU,2000,21919877
642,Romania,ROU,2010,20335211
642,Romania,ROU,2020,19442039
643,Russian Federation,RUS,1990,148005704
643,Russian Federation,RUS,2000,146844839
643,Russian Federation,RUS,2010,143242599
643,Russian Federation,RUS,2020,145617329
646,Rwanda,RWA,1990,7319963
646,Rwanda,RWA,2000,8109989
646,Rwanda,RWA,2010,10309031
646,Rwanda,RWA,2020,13146362
652,Saint Barthélemy,BLM,1990,5169
652,Saint Barthélemy,BLM,2000,7082
652,Saint Barthélemy,BLM,2010,8988
652,Saint Barthélemy,BLM,2020,10681
654,Saint Helena,SHN,1990,6608
654,Saint Helena,SHN,2000,6025
654,Saint Helena,SHN,2010,5321
654,Saint Helena,SHN,2020,5421
659,Saint Kitts and Nevis,KNA,1990,40636
659,Saint Kitts and Nevis,KNA,2000,45461
659,Saint Kitts and Nevis,KNA,2010,47403
659,Saint Kitts and Nevis,KNA,2020,47643
660,Anguilla,AIA,1990,8316
660,Anguilla,AIA,2000,11048
660,Anguilla,AIA,2010,13172
660,Anguilla,AIA,2020,15585
662,Saint Lucia,LCA,1990,142301
662,Saint Lucia,LCA,2000,159500
662,Saint Lucia,LCA,2010,170935
662,Saint Lucia,LCA,2020,179237
663,Saint Martin (French part),MAF,1990,28127
663,Saint Martin (French part),MAF,2000,29610
663,Saint Martin (French part),MAF,2010,36458
663,Saint Martin (French part),MAF,2020,32553
666,Saint Pierre and Miquelon,SPM,1990,6324
666,Saint Pierre and Miquelon,SPM,2000,6274
666,Saint Pierre and Miquelon,SPM,2010,6052
666,Saint Pierre and Miquelon,SPM,2020,5906
670,Saint Vincent and the Grenadines,VCT,1990,112488
670,Saint Vincent and the Grenadines,VCT,2000,113813
